"","CatID","Sex","Age","ReprodStat","Season","Photoperiod","DateGMT","TimeGMT","DateTimeET","DateTimeET2","DateET2","TIMEET2","TTF","Zone","X","Y"
"41511","143","M","SA",0,"DRY","NIGHT",NA,NA,200602142200,"20060214 2200","2006 2 14",2200,51,"",489687.794703413,2932743.29430689
"41512","143","M","SA",0,"DRY","DAY",NA,NA,200602151201,"20060215 1201","2006 2 15",1201,113,"",489559.985325351,2932738.03009805
"41513","143","M","SA",0,"DRY","NIGHT",NA,NA,200602151901,"20060215 1901","2006 2 15",1901,54,"",489764.217425428,2932749.69633539
"41514","143","M","SA",0,"DRY","NIGHT",NA,NA,200602160201,"20060216 201","2006 2 16",201,91,"",489754.054638423,2932815.02807645
"41515","143","M","SA",0,"DRY","DAY",NA,NA,200602160901,"20060216 901","2006 2 16",901,55,"",492197.023056991,2931334.0231697
"41516","143","M","SA",0,"DRY","DAY",NA,NA,200602161602,"20060216 1602","2006 2 16",1602,139,"",492469.086421944,2931262.92359038
"41517","143","M","SA",0,"DRY","NIGHT",NA,NA,200602162301,"20060216 2301","2006 2 16",2301,63,"",492363.692730919,2923217.65217182
"41518","143","M","SA",0,"DRY","NIGHT",NA,NA,200602170601,"20060217 601","2006 2 17",601,64,"",493542.934643894,2920530.31338963
"41519","143","M","SA",0,"DRY","DAY",NA,NA,200602171300,"20060217 1300","2006 2 17",1300,51,"",494219.02050589,2919807.57814641
"41520","143","M","SA",0,"DRY","NIGHT",NA,NA,200602172000,"20060217 2000","2006 2 17",2000,52,"",494763.461524919,2917303.22333628
"41521","143","M","SA",0,"DRY","NIGHT",NA,NA,200602180302,"20060218 302","2006 2 18",302,140,"",497041.509433333,2910399.44685047
"41522","143","M","SA",0,"DRY","DAY",NA,NA,200602181000,"20060218 1000","2006 2 18",1000,53,"",498249.327432796,2908043.32254374
"41523","143","M","SA",0,"DRY","NIGHT",NA,NA,200602190001,"20060219 001","2006 2 19",1,73,"",503384.330166418,2906817.92427227
"41524","143","M","SA",0,"DRY","NIGHT",NA,NA,200602192100,"20060219 2100","2006 2 19",2100,50,"",504542.301520765,2894619.65108526
"41525","143","M","SA",0,"DRY","NIGHT",NA,NA,200602200401,"20060220 401","2006 2 20",401,75,"",501049.66120157,2894732.35838039
"41526","143","M","SA",0,"DRY","DAY",NA,NA,200602201800,"20060220 1800","2006 2 20",1800,52,"",501103.208111197,2894697.7542292
"41527","143","M","SA",0,"DRY","NIGHT",NA,NA,200602210101,"20060221 101","2006 2 21",101,59,"",499993.980030008,2895482.02578742
"41528","143","M","SA",0,"DRY","DAY",NA,NA,200602211501,"20060221 1501","2006 2 21",1501,85,"",501919.221748222,2894564.51312274
"41529","143","M","SA",0,"DRY","NIGHT",NA,NA,200602212200,"20060221 2200","2006 2 21",2200,54,"",503090.384867359,2894816.05222336
"41530","143","M","SA",0,"DRY","NIGHT",NA,NA,200602230200,"20060223 200","2006 2 23",200,56,"",491617.917584166,2902813.93114334
"41531","143","M","SA",0,"DRY","DAY",NA,NA,200602230901,"20060223 901","2006 2 23",901,82,"",491380.096697584,2905838.63569807
"41532","143","M","SA",0,"DRY","DAY",NA,NA,200602231601,"20060223 1601","2006 2 23",1601,92,"",491100.898828313,2910933.38150205
"41533","143","M","SA",0,"DRY","NIGHT",NA,NA,200602232301,"20060223 2301","2006 2 23",2301,62,"",491053.92016989,2916582.19019554
"41534","143","M","SA",0,"DRY","NIGHT",NA,NA,200602240601,"20060224 601","2006 2 24",601,62,"",490739.734651089,2916619.14576324
"41535","143","M","SA",0,"DRY","DAY",NA,NA,200602241301,"20060224 1301","2006 2 24",1301,90,"",491286.036793809,2918055.13758484
"41536","143","M","SA",0,"DRY","NIGHT",NA,NA,200602242000,"20060224 2000","2006 2 24",2000,53,"",489573.929667041,2922387.94962185
"41537","143","M","SA",0,"DRY","NIGHT",NA,NA,200602250301,"20060225 301","2006 2 25",301,73,"",492304.950871341,2930604.27708251
"41538","143","M","SA",0,"DRY","DAY",NA,NA,200602251701,"20060225 1701","2006 2 25",1701,61,"",489695.431450747,2933152.50564597
"41539","143","M","SA",0,"DRY","NIGHT",NA,NA,200602260000,"20060226 000","2006 2 26",0,51,"",489725.127621505,2932849.69430777
"41540","143","M","SA",0,"DRY","DAY",NA,NA,200602260701,"20060226 701","2006 2 26",701,83,"",489880.926620405,2932700.17993844
"41541","143","M","SA",0,"DRY","DAY",NA,NA,200602261401,"20060226 1401","2006 2 26",1401,62,"",489655.616486341,2932775.90162177
"41542","143","M","SA",0,"DRY","NIGHT",NA,NA,200602262101,"20060226 2101","2006 2 26",2101,81,"",489604.363913108,2932980.06802928
"41543","143","M","SA",0,"DRY","NIGHT",NA,NA,200602270400,"20060227 400","2006 2 27",400,54,"",489679.165030584,2932607.88737414
"41544","143","M","SA",0,"DRY","DAY",NA,NA,200602271800,"20060227 1800","2006 2 27",1800,71,"",489846.011468582,2935949.48958538
"41545","143","M","SA",0,"DRY","NIGHT",NA,NA,200602280101,"20060228 101","2006 2 28",101,64,"",490564.708880708,2935669.28139926
"41546","143","M","SA",0,"DRY","DAY",NA,NA,200602280801,"20060228 801","2006 2 28",801,62,"",490749.898235541,2935516.15362265
"41547","143","M","SA",0,"DRY","NIGHT",NA,NA,200602282200,"20060228 2200","2006 2 28",2200,53,"",490649.753082063,2935408.70940304
"41548","143","M","SA",0,"DRY","NIGHT",NA,NA,200603010501,"20060301 501","2006 3 1",501,64,"",490451.789327838,2935656.31126419
"41549","143","M","SA",0,"DRY","NIGHT",NA,NA,200603011901,"20060301 1901","2006 3 1",1901,61,"",489136.517704014,2936613.33332794
"41550","143","M","SA",0,"DRY","NIGHT",NA,NA,200603020201,"20060302 201","2006 3 2",201,70,"",487925.397371639,2937466.34622587
"41551","143","M","SA",0,"DRY","DAY",NA,NA,200603020900,"20060302 900","2006 3 2",900,53,"",488026.526529938,2937292.45813583
"41552","143","M","SA",0,"DRY","DAY",NA,NA,200603021600,"20060302 1600","2006 3 2",1600,51,"",487830.417328805,2937439.67940577
"41553","143","M","SA",0,"DRY","NIGHT",NA,NA,200603022300,"20060302 2300","2006 3 2",2300,51,"",487872.215074811,2937299.89871556
"41554","143","M","SA",0,"DRY","NIGHT",NA,NA,200603030601,"20060303 601","2006 3 3",601,84,"",488062.640986003,2937944.22315072
