crop,d_cover,d_roads,animal_id,use,roaddist,BinRoad,NewDate,Season,cropnew,std_cover,std_roads
5,67.08203932,323.1098884,647572A,1,340.1967533,200-400,10/22/2011 21:00,winter2012,3,-0.180321998,-0.174080235
4,0,331.3608305,647572A,1,347.1649738,200-400,10/23/2011 0:00,winter2012,2,-0.714657587,-0.147881494
1,127.2792206,234.3074903,647572A,1,237.9965111,200-400,10/23/2011 3:00,winter2012,1,0.299172911,-0.456049363
4,0,540,647572A,1,555.3548816,400-600,10/23/2011 6:00,winter2012,2,-0.714657587,0.514598416
5,30,517.880295,647572A,1,525.71719,400-600,10/23/2011 9:00,winter2012,3,-0.475695447,0.444362994
5,42.42640687,256.3201124,647572A,1,252.9656338,200-400,10/23/2011 12:01,winter2012,3,-0.376714088,-0.386153955
5,67.08203932,480.9365863,647572A,1,480.1998295,400-600,10/23/2011 15:00,winter2012,3,-0.180321998,0.327057768
5,30,390,647572A,1,400.7113217,400-600,10/23/2011 18:00,winter2012,3,-0.475695447,0.038312075
5,42.42640687,360,647572A,1,363.6762763,200-400,10/23/2011 21:00,winter2012,3,-0.376714088,-0.056945193
5,60,379.4733192,647572A,1,391.8972615,400-600,10/24/2011 0:00,winter2012,3,-0.236733307,0.004887313
1,216.3330765,30,647572A,1,38.58811234,0-200,10/24/2011 3:00,winter2012,1,1.008522911,-1.104775143
1,60,120,647572A,1,116.4002364,0-200,10/24/2011 6:00,winter2012,1,-0.236733307,-0.819003338
1,152.9705854,30,647572A,1,24.52892908,0-200,10/24/2011 9:00,winter2012,1,0.503815028,-1.104775143
2,67.08203932,180,647572A,1,191.7599488,200-400,10/24/2011 12:00,winter2012,1,-0.180321998,-0.628488802
1,60,755.3806987,647572A,1,776.4808819,800-1000,10/24/2011 15:00,winter2012,1,-0.236733307,1.198484315
4,0,600.7495318,647572A,1,625.4953383,600-800,10/24/2011 18:01,winter2012,2,-0.714657587,0.707492897
4,0,540,647572A,1,556.295082,400-600,10/24/2011 21:01,winter2012,2,-0.714657587,0.514598416
4,0,560.4462508,647572A,1,574.8434331,400-600,10/25/2011 0:00,winter2012,2,-0.714657587,0.579520216
2,120,180,647572A,1,174.4346598,0-200,10/25/2011 3:00,winter2012,1,0.241190973,-0.628488802
2,174.9285568,123.6931688,647572A,1,136.3763072,0-200,10/25/2011 6:00,winter2012,1,0.678719156,-0.807276633
2,201.246118,60,647572A,1,59.57824452,0-200,10/25/2011 9:00,winter2012,1,0.888349181,-1.009517874
