CatID,Sex,Age,ReprodStat,Season,Photoperiod,DateGMT,TimeGMT,DateTimeET,DateTimeET2,DateET2,TIMEET2,TTF,Zone,X,Y
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060305 504,2006 3 5,504,NA,17,501826.9982,2906933.203
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060305 1903,2006 3 5,1903,NA,17,499406.5358,2905911.282
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060306 203,2006 3 6,203,NA,17,499390.8982,2905865.349
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060306 904,2006 3 6,904,NA,17,499562.9924,2906119.841
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060306 1603,2006 3 6,1603,NA,17,499518.8338,2906071.312
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060307 2003,2006 3 7,2003,NA,17,499325.2688,2905723.553
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060308 304,2006 3 8,304,NA,17,499178.4414,2905835.475
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060308 1703,2006 3 8,1703,NA,17,499097.9595,2905926.136
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060309 704,2006 3 9,704,NA,17,499295.6775,2905967.171
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060309 1403,2006 3 9,1403,NA,17,499292.0022,2905708.48
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060309 2103,2006 3 9,2103,NA,17,500888.9875,2906193.724
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060310 403,2006 3 10,403,NA,17,499407.7535,2905907.081
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060311 1504,2006 3 11,1504,NA,17,500592.2555,2905827.923
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060311 2204,2006 3 11,2204,NA,17,499588.0587,2905736.507
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060314 515,2006 3 14,515,NA,17,499435.8473,2905989.892
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060314 1203,2006 3 14,1203,NA,17,499118.2843,2905733.346
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060314 1903,2006 3 14,1903,NA,17,499353.5587,2905903.562
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060315 203,2006 3 15,203,NA,17,502448.6321,2904817.938
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060315 903,2006 3 15,903,NA,17,499183.0061,2905904.709
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060315 1604,2006 3 15,1604,NA,17,499094.1317,2905839.35
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060316 603,2006 3 16,603,NA,17,498820.0569,2906336.06
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060316 1304,2006 3 16,1304,NA,17,499331.2258,2905708.788
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060317 304,2006 3 17,304,NA,17,499429.4266,2905812.077
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060317 1004,2006 3 17,1004,NA,17,500088.1925,2904285.496
